COD_NUTS;Designacao;Preco_m2_4T2024;Salario_Minimo_2024;Salario_Medio_Nacional_2024;Racio_Salario_Minimo_por_m2;Racio_Salario_Medio_por_m2
1111608;Valença;571.0;820.0;1600.0;0.7;0.36
1D11104;Cadaval;569.0;820.0;1600.0;0.69;0.36
1920607;Lousã;563.0;820.0;1600.0;0.69;0.35
1111606;Ponte da Barca;556.0;820.0;1600.0;0.68;0.35
1D31414;Rio Maior;556.0;820.0;1600.0;0.68;0.35
11A0104;Arouca;556.0;820.0;1600.0;0.68;0.35
1D21408;Constância;561.0;820.0;1600.0;0.68;0.35
1C4;Alentejo Central;550.0;820.0;1600.0;0.67;0.34
1931015;Pombal;551.0;820.0;1600.0;0.67;0.34
1D21420;Vila Nova da Barquinha;550.0;820.0;1600.0;0.67;0.34
1931004;Batalha;541.0;820.0;1600.0;0.66;0.34
1910101;Águeda;544.0;820.0;1600.0;0.66;0.34
1C40711;Reguengos de Monsaraz;536.0;820.0;1600.0;0.65;0.34
11C1301;Amarante;537.0;820.0;1600.0;0.65;0.34
1111610;Vila Nova de Cerveira;533.0;820.0;1600.0;0.65;0.33
1C20203;Alvito;526.0;820.0;1600.0;0.64;0.33
1920111;Mealhada;528.0;820.0;1600.0;0.64;0.33
1C40707;Mora;523.0;820.0;1600.0;0.64;0.33
11C;Tâmega e Sousa;517.0;820.0;1600.0;0.63;0.32
19;Centro;500.0;820.0;1600.0;0.61;0.31
2004202;Nordeste;489.0;820.0;1600.0;0.6;0.31
2004205;Ribeira Grande;484.0;820.0;1600.0;0.59;0.3
1D2;Médio Tejo;481.0;820.0;1600.0;0.59;0.3
1931016;Porto de Mós;465.0;820.0;1600.0;0.57;0.29
1C40704;Estremoz;466.0;820.0;1600.0;0.57;0.29
1920614;Penela;465.0;820.0;1600.0;0.57;0.29
1920610;Montemor-o-Velho;469.0;820.0;1600.0;0.57;0.29
1941810;Oliveira de Frades;466.0;820.0;1600.0;0.57;0.29
1C40708;Mourão;458.0;820.0;1600.0;0.56;0.29
1C31214;Portalegre;460.0;820.0;1600.0;0.56;0.29
1C40702;Arraiolos;462.0;820.0;1600.0;0.56;0.29
1D21419;Torres Novas;451.0;820.0;1600.0;0.55;0.28
1D21411;Ferreira do Zêzere;450.0;820.0;1600.0;0.55;0.28
11D1820;Tarouca;455.0;820.0;1600.0;0.55;0.28
1C40713;Viana do Alentejo;444.0;820.0;1600.0;0.54;0.28
1950509;Sertã;439.0;820.0;1600.0;0.54;0.27
1C;Alentejo;444.0;820.0;1600.0;0.54;0.28
1960503;Covilhã;438.0;820.0;1600.0;0.53;0.27
11C0106;Castelo de Paiva;432.0;820.0;1600.0;0.53;0.27
1C31213;Ponte de Sor;424.0;820.0;1600.0;0.52;0.26
1D21418;Tomar;419.0;820.0;1600.0;0.51;0.26
1910103;Anadia;420.0;820.0;1600.0;0.51;0.26
1C20206;Castro Verde;416.0;820.0;1600.0;0.51;0.26
1C20207;Cuba;421.0;820.0;1600.0;0.51;0.26
1920617;Vila Nova de Poiares;422.0;820.0;1600.0;0.51;0.26
1C40701;Alandroal;407.0;820.0;1600.0;0.5;0.25
2004501;Calheta;414.0;820.0;1600.0;0.5;0.26
1960907;Guarda;406.0;820.0;1600.0;0.5;0.25
1111601;Arcos de Valdevez;401.0;820.0;1600.0;0.49;0.25
11B;Alto Tâmega e Barroso;400.0;820.0;1600.0;0.49;0.25
1D31407;Chamusca;396.0;820.0;1600.0;0.48;0.25
11E0407;Mirandela;395.0;820.0;1600.0;0.48;0.25
1C40714;Vila Viçosa;393.0;820.0;1600.0;0.48;0.25
1941816;São Pedro do Sul;388.0;820.0;1600.0;0.47;0.24
1C40703;Borba;380.0;820.0;1600.0;0.46;0.24
194;Viseu Dão Lafões;380.0;820.0;1600.0;0.46;0.24
1920615;Soure;378.0;820.0;1600.0;0.46;0.24
1C20213;Serpa;378.0;820.0;1600.0;0.46;0.24
1C31207;Elvas;380.0;820.0;1600.0;0.46;0.24
1111605;Paredes de Coura;381.0;820.0;1600.0;0.46;0.24
1920609;Miranda do Corvo;379.0;820.0;1600.0;0.46;0.24
1C40710;Redondo;365.0;820.0;1600.0;0.45;0.23
1C20201;Aljustrel;373.0;820.0;1600.0;0.45;0.23
1120310;Terras de Bouro;373.0;820.0;1600.0;0.45;0.23
1921808;Mortágua;373.0;820.0;1600.0;0.45;0.23
1D21401;Abrantes;368.0;820.0;1600.0;0.45;0.23
1941814;Santa Comba Dão;357.0;820.0;1600.0;0.44;0.22
1910117;Sever do Vouga;364.0;820.0;1600.0;0.44;0.23
1C31202;Arronches;357.0;820.0;1600.0;0.44;0.22
2004502;Velas;364.0;820.0;1600.0;0.44;0.23
1C2;Baixo Alentejo;362.0;820.0;1600.0;0.44;0.23
1950502;Castelo Branco;351.0;820.0;1600.0;0.43;0.22
1D21402;Alcanena;353.0;820.0;1600.0;0.43;0.22
1C31203;Avis;341.0;820.0;1600.0;0.42;0.21
1941809;Nelas;347.0;820.0;1600.0;0.42;0.22
1C20214;Vidigueira;341.0;820.0;1600.0;0.42;0.21
11B1702;Boticas;341.0;820.0;1600.0;0.42;0.21
1960504;Fundão;347.0;820.0;1600.0;0.42;0.22
